time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1410.943863372972,1.8494256e+04,1.6798590e+01,9.4692298e-04,132111,270.22619,484.69917,1.7358895e+04,1.5451176e+01,1.2710393e+03,4.4130955e+00,1.8494256e+04,1.6798590e+01,0,,,,,270.22619,6.3546171e-04,484.69917,7.6324487e-04,1.3537376e-01,-5.6301638e-02
1410.945252263331,1.8487826e+04,1.6795338e+01,9.4692502e-04,132112,270.22947,484.70519,1.7358842e+04,1.5448184e+01,1.2648579e+03,4.4142962e+00,1.8487826e+04,1.6795338e+01,0,,,,,270.22947,6.3474954e-04,484.70519,7.6331903e-04,1.3868186e-01,-4.9588252e-02
1410.94664115369,1.8486307e+04,1.6797173e+01,9.4692706e-04,132113,270.22829,484.70694,1.7348359e+04,1.5449872e+01,1.2741051e+03,4.4272413e+00,1.8486307e+04,1.6797173e+01,0,,,,,270.22829,6.3495483e-04,484.70694,7.6315459e-04,1.3793918e-01,-4.7498785e-02
1410.948030044108,1.8497246e+04,1.6805557e+01,9.4692915e-04,132114,270.23503,484.70258,1.7363074e+04,1.5457583e+01,1.2673324e+03,4.4244103e+00,1.8497246e+04,1.6805557e+01,0,,,,,270.23503,6.3593959e-04,484.70258,7.6402270e-04,1.4277358e-01,-5.1335055e-02
1410.9494189344678,1.8465020e+04,1.6793200e+01,9.4693119e-04,132115,270.22528,484.69830,1.7334424e+04,1.5446217e+01,1.2713693e+03,4.4184690e+00,1.8465020e+04,1.6793200e+01,0,,,,,270.22528,6.3538784e-04,484.69830,7.6491397e-04,1.3505891e-01,-5.6220815e-02
1410.9508078248268,1.8487266e+04,1.6787470e+01,9.4693323e-04,132116,270.23899,484.71777,1.7357695e+04,1.5440948e+01,1.2588522e+03,4.4061995e+00,1.8487266e+04,1.6787470e+01,0,,,,,270.23899,6.3545350e-04,484.71777,7.6339726e-04,1.4813264e-01,-3.5210423e-02
1410.9521967152455,1.8491432e+04,1.6791933e+01,9.4693532e-04,132117,270.22313,484.68944,1.7353285e+04,1.5445051e+01,1.2676647e+03,4.4191952e+00,1.8491432e+04,1.6791933e+01,0,,,,,270.22313,6.3453737e-04,484.68944,7.6451019e-04,1.3120630e-01,-6.6333942e-02
1410.953585605606,1.8488363e+04,1.6795815e+01,9.4693736e-04,132118,270.22679,484.69962,1.7359859e+04,1.5448624e+01,1.2683234e+03,4.4093823e+00,1.8488363e+04,1.6795815e+01,0,,,,,270.22679,6.3452736e-04,484.69962,7.6379027e-04,1.3508265e-01,-5.7282977e-02
1410.9549744960232,1.8476146e+04,1.6790337e+01,9.4693946e-04,132119,270.22847,484.70475,1.7344656e+04,1.5443584e+01,1.2670024e+03,4.4240417e+00,1.8476146e+04,1.6790337e+01,0,,,,,270.22847,6.3523720e-04,484.70475,7.6349924e-04,1.3816075e-01,-4.8039250e-02
1410.9563633863831,1.8480096e+04,1.6789843e+01,9.4694149e-04,132120,270.22897,484.70261,1.7348982e+04,1.5443130e+01,1.2657134e+03,4.4086647e+00,1.8480096e+04,1.6789843e+01,0,,,,,270.22897,6.3512282e-04,484.70261,7.6272857e-04,1.3807045e-01,-5.2611053e-02
1410.957752276801,1.8478930e+04,1.6792377e+01,9.4694359e-04,132121,270.22856,484.70514,1.7350928e+04,1.5445462e+01,1.2689229e+03,4.4147196e+00,1.8478930e+04,1.6792377e+01,0,,,,,270.22856,6.3496659e-04,484.70514,7.6359208e-04,1.3872573e-01,-4.8741482e-02
1410.9591411672184,1.8487170e+04,1.6797701e+01,9.4694569e-04,132122,270.22862,484.70174,1.7354568e+04,1.5450357e+01,1.2697561e+03,4.4128537e+00,1.8487170e+04,1.6797701e+01,0,,,,,270.22862,6.3476007e-04,484.70174,7.6387398e-04,1.3839681e-01,-5.2131511e-02
1410.9619189479954,1.8482385e+04,1.6794641e+01,9.4694982e-04,132124,270.22473,484.69948,1.7348654e+04,1.5447543e+01,1.2626328e+03,4.4359617e+00,1.8482385e+04,1.6794641e+01,0,,,,,270.22473,6.3431985e-04,484.69948,7.6326233e-04,1.3313243e-01,-5.6937225e-02
1410.9633078384134,1.8512766e+04,1.6782265e+01,9.4695191e-04,132125,270.23099,484.70198,1.7362559e+04,1.5436160e+01,1.2527667e+03,4.3965812e+00,1.8512766e+04,1.6782265e+01,0,,,,,270.23099,6.3473079e-04,484.70198,7.6463900e-04,1.3953081e-01,-5.1597953e-02
1410.9646967288306,1.8492162e+04,1.6791471e+01,9.4695401e-04,132126,270.23169,484.70430,1.7361314e+04,1.5444628e+01,1.2630038e+03,4.4106588e+00,1.8492162e+04,1.6791471e+01,0,,,,,270.23169,6.3449593e-04,484.70430,7.6224713e-04,1.4000015e-01,-5.0323188e-02
1410.9660856192486,1.8483262e+04,1.6790796e+01,9.4695610e-04,132127,270.22862,484.70065,1.7354186e+04,1.5444006e+01,1.2641031e+03,4.4104605e+00,1.8483262e+04,1.6790796e+01,0,,,,,270.22862,6.3446432e-04,484.70065,7.6294394e-04,1.3757226e-01,-5.5137575e-02
1410.9813634139032,1.8502420e+04,1.6797195e+01,9.4697921e-04,132138,270.23441,484.71257,1.7377100e+04,1.5449894e+01,1.2633226e+03,4.4100866e+00,1.8502420e+04,1.6797195e+01,0,,,,,270.23441,6.3420256e-04,484.71257,7.6134485e-04,1.4353268e-01,-3.9788000e-02
1410.982752304379,1.8480584e+04,1.6792480e+01,9.4698137e-04,132139,270.22574,484.69283,1.7346148e+04,1.5445557e+01,1.2667363e+03,4.4326921e+00,1.8480584e+04,1.6792480e+01,0,,,,,270.22574,6.3471426e-04,484.69283,7.6381315e-04,1.3440350e-01,-6.4086333e-02
1410.9841411947968,1.8454215e+04,1.6782167e+01,9.4698346e-04,132140,270.23590,484.71833,1.7333102e+04,1.5436069e+01,1.2705690e+03,4.4141526e+00,1.8454215e+04,1.6782167e+01,0,,,,,270.23590,6.3546054e-04,484.71833,7.6301384e-04,1.4583299e-01,-3.4721665e-02
1410.985530085273,1.8468848e+04,1.6783762e+01,9.4698562e-04,132141,270.22209,484.68752,1.7331410e+04,1.5437536e+01,1.2687898e+03,4.4162111e+00,1.8468848e+04,1.6783762e+01,0,,,,,270.22209,6.3504250e-04,484.68752,7.6540653e-04,1.2974598e-01,-6.9312818e-02
1410.9869189757492,1.8521695e+04,1.6804483e+01,9.4698777e-04,132142,270.23074,484.70743,1.7392445e+04,1.5456597e+01,1.2603618e+03,4.4108453e+00,1.8521695e+04,1.6804483e+01,0,,,,,270.23074,6.3448929e-04,484.70743,7.6280447e-04,1.4109981e-01,-4.6649758e-02
1410.9883078661671,1.8497447e+04,1.6792793e+01,9.4698987e-04,132143,270.22350,484.69245,1.7342568e+04,1.5445844e+01,1.2693164e+03,4.4220896e+00,1.8497447e+04,1.6792793e+01,0,,,,,270.22350,6.3560792e-04,484.69245,7.6649582e-04,1.3270183e-01,-6.3724287e-02
1410.9896967566433,1.8483336e+04,1.6792246e+01,9.4699202e-04,132144,270.22997,484.70629,1.7349852e+04,1.5445340e+01,1.2689933e+03,4.4165282e+00,1.8483336e+04,1.6792246e+01,0,,,,,270.22997,6.3450064e-04,484.70629,7.6335261e-04,1.3949297e-01,-4.6526223e-02
1410.9910856471195,1.8496127e+04,1.6797846e+01,9.4699417e-04,132145,270.23480,484.71374,1.7364930e+04,1.5450491e+01,1.2692434e+03,4.4173770e+00,1.8496127e+04,1.6797846e+01,0,,,,,270.23480,6.3456257e-04,484.71374,7.6300115e-04,1.4418131e-01,-4.0002726e-02
1410.9924745375367,1.8532441e+04,1.6793802e+01,9.4699627e-04,132146,270.22646,484.69617,1.7376062e+04,1.5446772e+01,1.2572013e+03,4.4081016e+00,1.8532441e+04,1.6793802e+01,0,,,,,270.22646,6.3493842e-04,484.69617,7.6536229e-04,1.3441624e-01,-5.9131928e-02
1410.993863428013,1.8518014e+04,1.6797081e+01,9.4699842e-04,132147,270.23928,484.71876,1.7386943e+04,1.5449788e+01,1.2634225e+03,4.4088063e+00,1.8518014e+04,1.6797081e+01,0,,,,,270.23928,6.3457747e-04,484.71876,7.6178159e-04,1.4894512e-01,-3.2701161e-02
1411.002196770868,1.8456949e+04,1.6779781e+01,9.4701134e-04,132153,270.22244,484.69137,1.7322312e+04,1.5433875e+01,1.2692802e+03,4.4188628e+00,1.8456949e+04,1.6779781e+01,0,,,,,270.22244,6.3521927e-04,484.69137,7.6597370e-04,1.3110790e-01,-6.5391198e-02
1411.0035856613442,1.8509518e+04,1.6786955e+01,9.4701350e-04,132154,270.23458,484.70898,1.7350393e+04,1.5440474e+01,1.2655133e+03,4.4078746e+00,1.8509518e+04,1.6786955e+01,0,,,,,270.23458,6.3828472e-04,484.70898,7.6714304e-04,1.4155792e-01,-4.2966872e-02
1411.004974551821,1.8492451e+04,1.6798296e+01,9.4701565e-04,132155,270.23361,484.71105,1.7363572e+04,1.5450905e+01,1.2716194e+03,4.4159851e+00,1.8492451e+04,1.6798296e+01,0,,,,,270.23361,6.3487358e-04,484.71105,7.6350092e-04,1.4363508e-01,-4.2298175e-02
1411.0063634423555,1.8482791e+04,1.6792673e+01,9.4701786e-04,132156,270.23110,484.70620,1.7345754e+04,1.5445734e+01,1.2702087e+03,4.4126477e+00,1.8482791e+04,1.6792673e+01,0,,,,,270.23110,6.3576072e-04,484.70620,7.6446333e-04,1.4040023e-01,-4.6040464e-02
1411.0077523328318,1.8472053e+04,1.6792315e+01,9.4702002e-04,132157,270.23234,484.70536,1.7342816e+04,1.5445403e+01,1.2675638e+03,4.4201608e+00,1.8472053e+04,1.6792315e+01,0,,,,,270.23234,6.3571817e-04,484.70536,7.6432095e-04,1.4153670e-01,-4.9813621e-02
1411.009141223308,1.8503365e+04,1.6796114e+01,9.4702217e-04,132158,270.22749,484.70247,1.7366408e+04,1.5448898e+01,1.2599734e+03,4.4270864e+00,1.8503365e+04,1.6796114e+01,0,,,,,270.22749,6.3450786e-04,484.70247,7.6387369e-04,1.3695815e-01,-5.1529102e-02
1411.0105301138417,1.8460273e+04,1.6786469e+01,9.4702438e-04,132159,270.23114,484.70481,1.7332992e+04,1.5440027e+01,1.2665413e+03,4.4157543e+00,1.8460273e+04,1.6786469e+01,0,,,,,270.23114,6.3568947e-04,484.70481,7.6492073e-04,1.4064217e-01,-4.7797754e-02
1411.0119190043179,1.8485023e+04,1.6785221e+01,9.4702654e-04,132160,270.22948,484.69871,1.7342025e+04,1.5438879e+01,1.2676062e+03,4.4108062e+00,1.8485023e+04,1.6785221e+01,0,,,,,270.22948,6.3549349e-04,484.69871,7.6491717e-04,1.3766089e-01,-5.6232490e-02
1411.013307894794,1.8468984e+04,1.6779907e+01,9.4702869e-04,132161,270.22967,484.70607,1.7326275e+04,1.5433990e+01,1.2672494e+03,4.4143949e+00,1.8468984e+04,1.6779907e+01,0,,,,,270.22967,6.3664134e-04,484.70607,7.6558726e-04,1.3771453e-01,-4.6621211e-02
1411.0146967853277,1.8456469e+04,1.6779924e+01,9.4703090e-04,132162,270.22966,484.70357,1.7318801e+04,1.5434007e+01,1.2656437e+03,4.4213843e+00,1.8456469e+04,1.6779924e+01,0,,,,,270.22966,6.3630455e-04,484.70357,7.6605746e-04,1.3869445e-01,-4.8282139e-02
1411.0160856758614,1.8489850e+04,1.6796249e+01,9.4703311e-04,132163,270.22744,484.69740,1.7355904e+04,1.5449023e+01,1.2649459e+03,4.4094634e+00,1.8489850e+04,1.6796249e+01,0,,,,,270.22744,6.3514319e-04,484.69740,7.6451653e-04,1.3616408e-01,-5.7656940e-02
1411.0174745663376,1.8451352e+04,1.6766874e+01,9.4703527e-04,132164,270.23193,484.70622,1.7314166e+04,1.5422003e+01,1.2579100e+03,4.4019871e+00,1.8451352e+04,1.6766874e+01,0,,,,,270.23193,6.3634041e-04,484.70622,7.6540204e-04,1.4017424e-01,-4.8156310e-02
1411.018863456872,1.8477510e+04,1.6782536e+01,9.4703748e-04,132165,270.22512,484.69184,1.7341471e+04,1.5436409e+01,1.2599100e+03,4.4055657e+00,1.8477510e+04,1.6782536e+01,0,,,,,270.22512,6.3489104e-04,484.69184,7.6491997e-04,1.3373281e-01,-6.4267494e-02
1411.0202523473474,1.8458842e+04,1.6780209e+01,9.4703963e-04,132166,270.22538,484.69663,1.7325066e+04,1.5434269e+01,1.2674772e+03,4.4144797e+00,1.8458842e+04,1.6780209e+01,0,,,,,270.22538,6.3505850e-04,484.69663,7.6467259e-04,1.3417237e-01,-6.0379498e-02
